Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,BRITANNIA,35549,FUTSTK,XX,-1,BRITANNIA INDUSTRIES LTD,BRITANNIA JUL FUT,BRITANNIA25JUL24F,2024-07-25,200,0.05
NFO,nse_fo,BSOFT,35550,FUTSTK,XX,-1,BIRLASOFT LIMITED,BSOFT JUL FUT,BSOFT25JUL24F,2024-07-25,1000,0.05
NFO,nse_fo,BANKNIFTY,35551,OPTIDX,CE,52400,BANKNIFTY,BANKNIFTY 29th MAY 52400 CE,BANKNIFTY29MAY24C52400,2024-05-29,15,0.05
NFO,nse_fo,BANKNIFTY,35552,OPTIDX,PE,52400,BANKNIFTY,BANKNIFTY 29th MAY 52400 PE,BANKNIFTY29MAY24P52400,2024-05-29,15,0.05
NFO,nse_fo,BANKNIFTY,35566,OPTIDX,PE,46900,BANKNIFTY,BANKNIFTY 5th JUN 46900 PE,BANKNIFTY05JUN24P46900,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35567,OPTIDX,CE,47000,BANKNIFTY,BANKNIFTY 5th JUN 47000 CE,BANKNIFTY05JUN24C47000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35582,OPTIDX,PE,47000,BANKNIFTY,BANKNIFTY 5th JUN 47000 PE,BANKNIFTY05JUN24P47000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35583,OPTIDX,CE,47100,BANKNIFTY,BANKNIFTY 5th JUN 47100 CE,BANKNIFTY05JUN24C47100,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35584,OPTIDX,PE,47100,BANKNIFTY,BANKNIFTY 5th JUN 47100 PE,BANKNIFTY05JUN24P47100,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35587,OPTIDX,CE,47200,BANKNIFTY,BANKNIFTY 5th JUN 47200 CE,BANKNIFTY05JUN24C47200,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35590,OPTIDX,PE,47200,BANKNIFTY,BANKNIFTY 5th JUN 47200 PE,BANKNIFTY05JUN24P47200,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35591,OPTIDX,CE,47300,BANKNIFTY,BANKNIFTY 5th JUN 47300 CE,BANKNIFTY05JUN24C47300,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35608,OPTIDX,PE,41000,BANKNIFTY,BANKNIFTY 26th JUN 41000 PE,BANKNIFTY26JUN24P41000,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35620,OPTIDX,PE,47300,BANKNIFTY,BANKNIFTY 5th JUN 47300 PE,BANKNIFTY05JUN24P47300,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35625,OPTIDX,CE,47400,BANKNIFTY,BANKNIFTY 5th JUN 47400 CE,BANKNIFTY05JUN24C47400,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35630,OPTIDX,PE,47400,BANKNIFTY,BANKNIFTY 5th JUN 47400 PE,BANKNIFTY05JUN24P47400,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35631,OPTIDX,CE,47500,BANKNIFTY,BANKNIFTY 5th JUN 47500 CE,BANKNIFTY05JUN24C47500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35632,OPTIDX,PE,47500,BANKNIFTY,BANKNIFTY 5th JUN 47500 PE,BANKNIFTY05JUN24P47500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35633,OPTIDX,CE,47600,BANKNIFTY,BANKNIFTY 5th JUN 47600 CE,BANKNIFTY05JUN24C47600,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35634,OPTIDX,PE,47600,BANKNIFTY,BANKNIFTY 5th JUN 47600 PE,BANKNIFTY05JUN24P47600,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35635,OPTIDX,CE,47700,BANKNIFTY,BANKNIFTY 5th JUN 47700 CE,BANKNIFTY05JUN24C47700,2024-06-05,15,0.05
NFO,nse_fo,CANBK,35649,FUTSTK,XX,-1,CANARA BANK,CANBK JUL FUT,CANBK25JUL24F,2024-07-25,1350,0.05
NFO,nse_fo,CANFINHOME,35650,FUTSTK,XX,-1,CAN FIN HOMES LTD,CANFINHOME JUL FUT,CANFINHOME25JUL24F,2024-07-25,975,0.05
NFO,nse_fo,CHAMBLFERT,35651,FUTSTK,XX,-1,CHAMBAL FERTILIZERS LTD,CHAMBLFERT JUL FUT,CHAMBLFERT25JUL24F,2024-07-25,1900,0.05
